# Program:featureCounts v2.0.0; Command:"featureCounts" "-T" "8" "-a" "/work/jyanglab/subhash/3.single_cell_RNA_Seq/1.bulk_RNA_seq/3.refrence_genome/Phytozome/PhytozomeV13/Zmays/Zm-B73-REFERENCE-NAM-5.0.55/annotation/Zmays_833_Zm-B73-REFERENCE-NAM-5.0.55.gene.gff3" "-F" "GFF" "-t" "gene" "-g" "ID" "-o" "/work/jyanglab/subhash/3.single_cell_RNA_Seq/1.bulk_RNA_seq/5.read_counts/gene_counts.txt" "/work/jyanglab/subhash/3.single_cell_RNA_Seq/1.bulk_RNA_seq/4.alignmend_files/SRR17859242_sorted.bam" "/work/jyanglab/subhash/3.single_cell_RNA_Seq/1.bulk_RNA_seq/4.alignmend_files/SRR17859243_sorted.bam" "/work/jyanglab/subhash/3.single_cell_RNA_Seq/1.bulk_RNA_seq/4.alignmend_files/SRR17859244_sorted.bam" "/work/jyanglab/subhash/3.single_cell_RNA_Seq/1.bulk_RNA_seq/4.alignmend_files/SRR17859245_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/work/jyanglab/subhash/3.single_cell_RNA_Seq/1.bulk_RNA_seq/4.alignmend_files/SRR17859242_sorted.bam	/work/jyanglab/subhash/3.single_cell_RNA_Seq/1.bulk_RNA_seq/4.alignmend_files/SRR17859243_sorted.bam	/work/jyanglab/subhash/3.single_cell_RNA_Seq/1.bulk_RNA_seq/4.alignmend_files/SRR17859244_sorted.bam	/work/jyanglab/subhash/3.single_cell_RNA_Seq/1.bulk_RNA_seq/4.alignmend_files/SRR17859245_sorted.bam
Zm00001eb000230.Zm_B73_REFERENCE_NAM_5.0.55	1	1022421	1026593	+	4173	1414	1505	1109	1040
Zm00001eb000240.Zm_B73_REFERENCE_NAM_5.0.55	1	1025166	1028066	-	2901	228	156	157	113
Zm00001eb000250.Zm_B73_REFERENCE_NAM_5.0.55	1	1035114	1035395	+	282	1	2	1	0
Zm00001eb000270.Zm_B73_REFERENCE_NAM_5.0.55	1	1060487	1063436	-	2950	633	652	379	404
Zm00001eb000290.Zm_B73_REFERENCE_NAM_5.0.55	1	1186473	1190677	+	4205	0	0	0	0
Zm00001eb000300.Zm_B73_REFERENCE_NAM_5.0.55	1	1198867	1200495	-	1629	221	280	178	149
Zm00001eb000310.Zm_B73_REFERENCE_NAM_5.0.55	1	1201797	1210068	-	8272	508	437	468	409
Zm00001eb000320.Zm_B73_REFERENCE_NAM_5.0.55	1	1217679	1222212	-	4534	2003	2216	2103	1552
Zm00001eb000330.Zm_B73_REFERENCE_NAM_5.0.55	1	1222255	1227093	-	4839	597	911	760	420
Zm00001eb000340.Zm_B73_REFERENCE_NAM_5.0.55	1	1483183	1523873	+	40691	3364	3872	4191	2646
Zm00001eb000360.Zm_B73_REFERENCE_NAM_5.0.55	1	1538240	1538884	+	645	0	0	0	0
Zm00001eb000370.Zm_B73_REFERENCE_NAM_5.0.55	1	1601134	1602423	-	1290	1728	2800	5404	3739
Zm00001eb000380.Zm_B73_REFERENCE_NAM_5.0.55	1	1706577	1707999	+	1423	4902	3444	1569	2236
Zm00001eb000390.Zm_B73_REFERENCE_NAM_5.0.55	1	1807198	1809676	+	2479	31	169	311	179
Zm00001eb000400.Zm_B73_REFERENCE_NAM_5.0.55	1	1824727	1826249	+	1523	108	144	120	126
Zm00001eb000410.Zm_B73_REFERENCE_NAM_5.0.55	1	1825973	1827696	-	1724	8	8	4	11
Zm00001eb000420.Zm_B73_REFERENCE_NAM_5.0.55	1	1832425	1834566	-	2142	3472	5281	5399	3097
Zm00001eb000430.Zm_B73_REFERENCE_NAM_5.0.55	1	1929337	1930143	-	807	0	0	0	0
Zm00001eb000440.Zm_B73_REFERENCE_NAM_5.0.55	1	1929358	1930319	+	962	0	4	6	0
Zm00001eb000450.Zm_B73_REFERENCE_NAM_5.0.55	1	1932708	1933552	-	845	20004	25442	18028	14879
Zm00001eb000460.Zm_B73_REFERENCE_NAM_5.0.55	1	2009997	2012200	-	2204	0	0	0	0
Zm00001eb000470.Zm_B73_REFERENCE_NAM_5.0.55	1	2010318	2012354	+	2037	0	0	0	0
Zm00001eb000480.Zm_B73_REFERENCE_NAM_5.0.55	1	2017706	2024879	-	7174	14320	12320	14317	11715
Zm00001eb000490.Zm_B73_REFERENCE_NAM_5.0.55	1	2095539	2097445	+	1907	3555	5463	7825	3919
Zm00001eb000500.Zm_B73_REFERENCE_NAM_5.0.55	1	2099970	2104244	-	4275	642	907	867	502
Zm00001eb000510.Zm_B73_REFERENCE_NAM_5.0.55	1	2144815	2147163	-	2349	288	363	292	237
Zm00001eb000520.Zm_B73_REFERENCE_NAM_5.0.55	1	2147897	2161903	-	14007	1879	2209	2118	1543
Zm00001eb000530.Zm_B73_REFERENCE_NAM_5.0.55	1	2168336	2168653	-	318	0	0	0	0
Zm00001eb000540.Zm_B73_REFERENCE_NAM_5.0.55	1	2224430	2232174	-	7745	25	34	34	20
Zm00001eb000550.Zm_B73_REFERENCE_NAM_5.0.55	1	2275575	2280181	-	4607	547	628	466	441
Zm00001eb000560.Zm_B73_REFERENCE_NAM_5.0.55	1	2281696	2286130	-	4435	0	0	0	18
Zm00001eb000570.Zm_B73_REFERENCE_NAM_5.0.55	1	2288852	2293806	+	4955	70	126	128	142
Zm00001eb000580.Zm_B73_REFERENCE_NAM_5.0.55	1	2376907	2378815	-	1909	301	280	165	346
Zm00001eb000590.Zm_B73_REFERENCE_NAM_5.0.55	1	2514265	2522242	+	7978	2268	2655	2838	2127
Zm00001eb000600.Zm_B73_REFERENCE_NAM_5.0.55	1	2553424	2556496	-	3073	197	173	181	168
Zm00001eb000620.Zm_B73_REFERENCE_NAM_5.0.55	1	2620295	2626950	-	6656	1693	1977	1560	1496
Zm00001eb000630.Zm_B73_REFERENCE_NAM_5.0.55	1	2641853	2644732	-	2880	4	0	0	0
Zm00001eb000640.Zm_B73_REFERENCE_NAM_5.0.55	1	2737442	2740118	+	2677	103	235	232	168
Zm00001eb000650.Zm_B73_REFERENCE_NAM_5.0.55	1	2765072	2771704	+	6633	203	320	272	204
Zm00001eb000660.Zm_B73_REFERENCE_NAM_5.0.55	1	2772158	2773573	-	1416	7353	9636	5063	4601
Zm00001eb000670.Zm_B73_REFERENCE_NAM_5.0.55	1	2800774	2803236	+	2463	3161	3873	3000	2471
Zm00001eb000680.Zm_B73_REFERENCE_NAM_5.0.55	1	2803474	2804769	-	1296	42	111	49	62
Zm00001eb000690.Zm_B73_REFERENCE_NAM_5.0.55	1	2810082	2817677	+	7596	2652	2991	3215	2378
Zm00001eb000700.Zm_B73_REFERENCE_NAM_5.0.55	1	2817998	2820996	-	2999	4118	5609	6515	4776
Zm00001eb000710.Zm_B73_REFERENCE_NAM_5.0.55	1	2860721	2869355	+	8635	467	688	706	517
Zm00001eb000720.Zm_B73_REFERENCE_NAM_5.0.55	1	2869576	2874482	-	4907	74	73	74	90
Zm00001eb000740.Zm_B73_REFERENCE_NAM_5.0.55	1	2874505	2883698	+	9194	144	107	65	71
Zm00001eb000750.Zm_B73_REFERENCE_NAM_5.0.55	1	2875398	2880118	-	4721	0	0	0	0
Zm00001eb000760.Zm_B73_REFERENCE_NAM_5.0.55	1	2885880	2888772	+	2893	1	2	2	0
Zm00001eb000770.Zm_B73_REFERENCE_NAM_5.0.55	1	2925178	2926144	+	967	8046	7579	6624	5909
Zm00001eb000780.Zm_B73_REFERENCE_NAM_5.0.55	1	2950594	2963259	+	12666	2119	2511	2666	1830
Zm00001eb000790.Zm_B73_REFERENCE_NAM_5.0.55	1	2965331	2968509	+	3179	495	581	630	545
Zm00001eb000800.Zm_B73_REFERENCE_NAM_5.0.55	1	2967642	2988230	-	20589	1583	2182	2756	1952
Zm00001eb000810.Zm_B73_REFERENCE_NAM_5.0.55	1	2991876	3014032	+	22157	0	0	0	0
Zm00001eb000820.Zm_B73_REFERENCE_NAM_5.0.55	1	3022946	3028004	+	5059	1094	1191	1072	780
Zm00001eb000830.Zm_B73_REFERENCE_NAM_5.0.55	1	3028126	3030012	+	1887	2	0	2	4
Zm00001eb000840.Zm_B73_REFERENCE_NAM_5.0.55	1	3042596	3044181	+	1586	1286	1765	1831	2308
Zm00001eb000850.Zm_B73_REFERENCE_NAM_5.0.55	1	3086161	3086776	-	616	0	0	0	0
Zm00001eb000860.Zm_B73_REFERENCE_NAM_5.0.55	1	3095249	3113958	+	18710	3276	3899	4148	3316
Zm00001eb000870.Zm_B73_REFERENCE_NAM_5.0.55	1	3115493	3126872	+	11380	2208	2204	1821	1713
Zm00001eb000880.Zm_B73_REFERENCE_NAM_5.0.55	1	3163359	3167829	-	4471	722	1474	2269	1697
Zm00001eb000890.Zm_B73_REFERENCE_NAM_5.0.55	1	3215293	3221599	+	6307	748	1170	1304	692
Zm00001eb000900.Zm_B73_REFERENCE_NAM_5.0.55	1	3221607	3222938	+	1332	59	81	34	31
Zm00001eb000910.Zm_B73_REFERENCE_NAM_5.0.55	1	3223370	3224844	-	1475	304	511	557	457
Zm00001eb000920.Zm_B73_REFERENCE_NAM_5.0.55	1	3263012	3279756	+	16745	2054	2651	2370	1580
Zm00001eb000930.Zm_B73_REFERENCE_NAM_5.0.55	1	3280308	3282259	-	1952	65	67	36	33
Zm00001eb000940.Zm_B73_REFERENCE_NAM_5.0.55	1	3280357	3281253	+	897	0	0	0	0
Zm00001eb000960.Zm_B73_REFERENCE_NAM_5.0.55	1	3359130	3361295	+	2166	82	85	117	54
Zm00001eb000970.Zm_B73_REFERENCE_NAM_5.0.55	1	3362236	3365818	+	3583	607	759	735	472
Zm00001eb000980.Zm_B73_REFERENCE_NAM_5.0.55	1	3368388	3369418	-	1031	305	391	439	240
Zm00001eb000990.Zm_B73_REFERENCE_NAM_5.0.55	1	3370081	3371465	+	1385	776	1229	2104	1569
Zm00001eb001000.Zm_B73_REFERENCE_NAM_5.0.55	1	3371279	3376586	-	5308	1773	1860	1981	1450
Zm00001eb001010.Zm_B73_REFERENCE_NAM_5.0.55	1	3432419	3436408	+	3990	645	967	1074	684
Zm00001eb001020.Zm_B73_REFERENCE_NAM_5.0.55	1	3434663	3437323	-	2661	46	31	24	15
Zm00001eb001030.Zm_B73_REFERENCE_NAM_5.0.55	1	3442010	3443345	-	1336	6	2	3	2
Zm00001eb001040.Zm_B73_REFERENCE_NAM_5.0.55	1	3473728	3478290	+	4563	2662	2484	2151	1761
Zm00001eb001050.Zm_B73_REFERENCE_NAM_5.0.55	1	3480374	3483331	+	2958	207	314	229	225
Zm00001eb001060.Zm_B73_REFERENCE_NAM_5.0.55	1	3486091	3488116	-	2026	85	201	160	161
Zm00001eb001070.Zm_B73_REFERENCE_NAM_5.0.55	1	3535438	3540435	+	4998	1310	2064	2482	1377
Zm00001eb001090.Zm_B73_REFERENCE_NAM_5.0.55	1	3566399	3567033	+	635	10	14	6	20
Zm00001eb001100.Zm_B73_REFERENCE_NAM_5.0.55	1	3635348	3636570	+	1223	0	0	0	0
Zm00001eb001110.Zm_B73_REFERENCE_NAM_5.0.55	1	3642003	3652191	-	10189	2085	2283	2390	1741
Zm00001eb001120.Zm_B73_REFERENCE_NAM_5.0.55	1	3732742	3735652	+	2911	889	1306	602	629
Zm00001eb001130.Zm_B73_REFERENCE_NAM_5.0.55	1	3762739	3766217	+	3479	898	929	936	712
Zm00001eb001140.Zm_B73_REFERENCE_NAM_5.0.55	1	3766150	3769278	-	3129	42	39	27	17
Zm00001eb001150.Zm_B73_REFERENCE_NAM_5.0.55	1	3787682	3792482	+	4801	12	8	2	4
Zm00001eb001160.Zm_B73_REFERENCE_NAM_5.0.55	1	3789833	3792468	-	2636	0	0	0	0
Zm00001eb001170.Zm_B73_REFERENCE_NAM_5.0.55	1	3796239	3798782	-	2544	71	72	165	141
Zm00001eb001180.Zm_B73_REFERENCE_NAM_5.0.55	1	3797680	3801321	+	3642	144	221	202	192
Zm00001eb001190.Zm_B73_REFERENCE_NAM_5.0.55	1	3802584	3803735	+	1152	1000	1387	2254	1664
Zm00001eb001200.Zm_B73_REFERENCE_NAM_5.0.55	1	3833378	3837494	+	4117	125	206	108	136
Zm00001eb001210.Zm_B73_REFERENCE_NAM_5.0.55	1	3837589	3838704	+	1116	0	0	0	0
Zm00001eb001220.Zm_B73_REFERENCE_NAM_5.0.55	1	3840616	3845721	+	5106	35	66	74	33
Zm00001eb001230.Zm_B73_REFERENCE_NAM_5.0.55	1	3848537	3849489	-	953	2	0	4	2
Zm00001eb001240.Zm_B73_REFERENCE_NAM_5.0.55	1	3903971	3908178	+	4208	2107	3076	4765	2341
Zm00001eb001250.Zm_B73_REFERENCE_NAM_5.0.55	1	3911915	3912600	+	686	0	0	0	0
Zm00001eb001260.Zm_B73_REFERENCE_NAM_5.0.55	1	3951421	3956063	+	4643	1312	1418	1872	1591
Zm00001eb001270.Zm_B73_REFERENCE_NAM_5.0.55	1	3956047	3959705	-	3659	1191	1348	1327	1008
Zm00001eb001280.Zm_B73_REFERENCE_NAM_5.0.55	1	3962559	3963285	+	727	111	132	104	40
Zm00001eb001290.Zm_B73_REFERENCE_NAM_5.0.55	1	3965228	3975390	-	10163	880	1111	1041	683
Zm00001eb001300.Zm_B73_REFERENCE_NAM_5.0.55	1	3977472	3978837	-	1366	0	0	0	0
Zm00001eb001310.Zm_B73_REFERENCE_NAM_5.0.55	1	3979913	3981991	-	2079	0	0	0	0
Zm00001eb001320.Zm_B73_REFERENCE_NAM_5.0.55	1	3983110	3983679	-	570	0	0	0	0
Zm00001eb001330.Zm_B73_REFERENCE_NAM_5.0.55	1	3984280	3984822	-	543	2	0	1	0
Zm00001eb001340.Zm_B73_REFERENCE_NAM_5.0.55	1	4078810	4083607	+	4798	508	930	1894	1205
Zm00001eb001350.Zm_B73_REFERENCE_NAM_5.0.55	1	4083900	4086535	+	2636	252	368	286	302
Zm00001eb001360.Zm_B73_REFERENCE_NAM_5.0.55	1	4087436	4089632	-	2197	1157	1317	1279	1054
Zm00001eb001370.Zm_B73_REFERENCE_NAM_5.0.55	1	4090633	4095211	-	4579	87	136	96	42
Zm00001eb001400.Zm_B73_REFERENCE_NAM_5.0.55	1	4111310	4118908	-	7599	5803	6757	7012	6277
Zm00001eb001410.Zm_B73_REFERENCE_NAM_5.0.55	1	4151847	4152236	-	390	0	0	4	0
Zm00001eb001420.Zm_B73_REFERENCE_NAM_5.0.55	1	4169766	4173139	-	3374	0	0	0	0
Zm00001eb001430.Zm_B73_REFERENCE_NAM_5.0.55	1	4173806	4249156	+	75351	6074	6792	7945	5551
Zm00001eb001440.Zm_B73_REFERENCE_NAM_5.0.55	1	4270812	4273294	+	2483	108	174	156	60
Zm00001eb001460.Zm_B73_REFERENCE_NAM_5.0.55	1	4293004	4304802	+	11799	2740	5125	5736	3661
Zm00001eb001470.Zm_B73_REFERENCE_NAM_5.0.55	1	4355214	4357396	+	2183	234	299	288	260
Zm00001eb001480.Zm_B73_REFERENCE_NAM_5.0.55	1	4358163	4359539	-	1377	0	0	0	0
Zm00001eb001490.Zm_B73_REFERENCE_NAM_5.0.55	1	4370484	4378831	-	8348	7	10	8	3
Zm00001eb001500.Zm_B73_REFERENCE_NAM_5.0.55	1	4370689	4373976	+	3288	0	0	0	0
Zm00001eb001510.Zm_B73_REFERENCE_NAM_5.0.55	1	4447853	4452527	-	4675	349	453	458	345
Zm00001eb001520.Zm_B73_REFERENCE_NAM_5.0.55	1	4480634	4487953	-	7320	248	264	157	197
Zm00001eb001530.Zm_B73_REFERENCE_NAM_5.0.55	1	4489656	4491331	-	1676	1247	1360	935	853
Zm00001eb001550.Zm_B73_REFERENCE_NAM_5.0.55	1	4613829	4616572	+	2744	854	840	872	677
Zm00001eb001560.Zm_B73_REFERENCE_NAM_5.0.55	1	4672210	4675614	-	3405	5450	7663	6355	3779
Zm00001eb001570.Zm_B73_REFERENCE_NAM_5.0.55	1	4678241	4689963	-	11723	3561	4166	3261	2479
Zm00001eb001580.Zm_B73_REFERENCE_NAM_5.0.55	1	4697629	4698378	+	750	0	0	0	0
Zm00001eb001590.Zm_B73_REFERENCE_NAM_5.0.55	1	4786101	4791613	+	5513	122	217	52	48
Zm00001eb001600.Zm_B73_REFERENCE_NAM_5.0.55	1	4792493	4796120	-	3628	106	75	86	57
Zm00001eb001610.Zm_B73_REFERENCE_NAM_5.0.55	1	4832164	4835558	+	3395	0	0	0	0
Zm00001eb001620.Zm_B73_REFERENCE_NAM_5.0.55	1	4835163	4835639	-	477	0	0	0	0
Zm00001eb001630.Zm_B73_REFERENCE_NAM_5.0.55	1	4844238	4848250	+	4013	0	0	0	0
Zm00001eb001640.Zm_B73_REFERENCE_NAM_5.0.55	1	4854128	4856665	-	2538	132	170	179	130
Zm00001eb001650.Zm_B73_REFERENCE_NAM_5.0.55	1	4860147	4868040	-	7894	1360	1201	634	1412
Zm00001eb001660.Zm_B73_REFERENCE_NAM_5.0.55	1	4903163	4904730	+	1568	0	0	0	0
Zm00001eb001670.Zm_B73_REFERENCE_NAM_5.0.55	1	4932248	4948340	-	16093	128	70	101	113
Zm00001eb001680.Zm_B73_REFERENCE_NAM_5.0.55	1	5048745	5051733	+	2989	2721	3061	2862	2346
Zm00001eb001690.Zm_B73_REFERENCE_NAM_5.0.55	1	5055289	5057805	-	2517	213	394	741	424
Zm00001eb001700.Zm_B73_REFERENCE_NAM_5.0.55	1	5060152	5061950	+	1799	655	1223	1611	966
Zm00001eb001710.Zm_B73_REFERENCE_NAM_5.0.55	1	5064533	5070054	+	5522	1189	1688	2558	1672
Zm00001eb001720.Zm_B73_REFERENCE_NAM_5.0.55	1	5076499	5081101	+	4603	2032	2285	2047	1524
Zm00001eb001740.Zm_B73_REFERENCE_NAM_5.0.55	1	5095230	5097193	-	1964	34	23	11	26
Zm00001eb001760.Zm_B73_REFERENCE_NAM_5.0.55	1	5112320	5115233	+	2914	1467	1088	882	1064
Zm00001eb001770.Zm_B73_REFERENCE_NAM_5.0.55	1	5156079	5161908	+	5830	1931	1943	1117	1040
Zm00001eb001780.Zm_B73_REFERENCE_NAM_5.0.55	1	5281432	5285006	+	3575	396	643	289	163
Zm00001eb001790.Zm_B73_REFERENCE_NAM_5.0.55	1	5285349	5285654	-	306	0	1	0	0
Zm00001eb001800.Zm_B73_REFERENCE_NAM_5.0.55	1	5285662	5286601	-	940	5	2	2	0
Zm00001eb001810.Zm_B73_REFERENCE_NAM_5.0.55	1	5365242	5367385	+	2144	1102	1275	1656	1339
Zm00001eb001820.Zm_B73_REFERENCE_NAM_5.0.55	1	5376196	5377536	+	1341	40	40	58	27
Zm00001eb001830.Zm_B73_REFERENCE_NAM_5.0.55	1	5384580	5388305	+	3726	116	115	80	79
Zm00001eb001840.Zm_B73_REFERENCE_NAM_5.0.55	1	5386927	5389230	-	2304	216	232	286	281
Zm00001eb001860.Zm_B73_REFERENCE_NAM_5.0.55	1	5423774	5431320	+	7547	1601	2933	3630	2544
Zm00001eb001870.Zm_B73_REFERENCE_NAM_5.0.55	1	5434423	5440930	+	6508	667	656	763	607
Zm00001eb001880.Zm_B73_REFERENCE_NAM_5.0.55	1	5444640	5448668	+	4029	2135	2691	2758	2117
Zm00001eb001890.Zm_B73_REFERENCE_NAM_5.0.55	1	5449946	5454011	-	4066	625	808	628	576
Zm00001eb001900.Zm_B73_REFERENCE_NAM_5.0.55	1	5471781	5480336	+	8556	1515	2141	1786	1165
Zm00001eb001910.Zm_B73_REFERENCE_NAM_5.0.55	1	5479359	5493877	-	14519	1694	2225	1817	1421
Zm00001eb001920.Zm_B73_REFERENCE_NAM_5.0.55	1	5542959	5544109	-	1151	95	82	81	48
Zm00001eb001940.Zm_B73_REFERENCE_NAM_5.0.55	1	5563658	5568308	-	4651	4313	3990	3150	3014
Zm00001eb001950.Zm_B73_REFERENCE_NAM_5.0.55	1	5615012	5616448	-	1437	2	16	1	2
Zm00001eb001960.Zm_B73_REFERENCE_NAM_5.0.55	1	5651777	5652845	+	1069	0	0	0	0
Zm00001eb001970.Zm_B73_REFERENCE_NAM_5.0.55	1	5651845	5652735	-	891	0	0	0	0
Zm00001eb001980.Zm_B73_REFERENCE_NAM_5.0.55	1	5655021	5657414	-	2394	364	642	515	440
Zm00001eb001990.Zm_B73_REFERENCE_NAM_5.0.55	1	5659149	5666171	-	7023	34	45	88	29
Zm00001eb002000.Zm_B73_REFERENCE_NAM_5.0.55	1	5743584	5766324	+	22741	562	742	534	541
Zm00001eb002010.Zm_B73_REFERENCE_NAM_5.0.55	1	5769996	5774406	+	4411	63	107	126	78
Zm00001eb002020.Zm_B73_REFERENCE_NAM_5.0.55	1	5772493	5778595	-	6103	123	141	156	78
Zm00001eb002030.Zm_B73_REFERENCE_NAM_5.0.55	1	5836552	5841719	+	5168	626	734	992	765
Zm00001eb002040.Zm_B73_REFERENCE_NAM_5.0.55	1	5847054	5859789	-	12736	1441	1736	1621	1151
Zm00001eb002050.Zm_B73_REFERENCE_NAM_5.0.55	1	5865243	5866479	+	1237	0	0	2	1
Zm00001eb002060.Zm_B73_REFERENCE_NAM_5.0.55	1	5897030	5900917	+	3888	9413	11510	16093	10496
Zm00001eb002070.Zm_B73_REFERENCE_NAM_5.0.55	1	5974073	5976558	+	2486	216	315	269	290
Zm00001eb002080.Zm_B73_REFERENCE_NAM_5.0.55	1	5975458	5976368	-	911	0	0	0	0
Zm00001eb002090.Zm_B73_REFERENCE_NAM_5.0.55	1	5987621	5991591	+	3971	5855	6193	6547	4793
Zm00001eb002100.Zm_B73_REFERENCE_NAM_5.0.55	1	6021571	6114922	-	93352	1503	1950	1098	774
Zm00001eb002140.Zm_B73_REFERENCE_NAM_5.0.55	1	6130065	6130508	+	444	0	0	0	0
Zm00001eb002150.Zm_B73_REFERENCE_NAM_5.0.55	1	6158278	6162050	+	3773	0	0	0	0
Zm00001eb002170.Zm_B73_REFERENCE_NAM_5.0.55	1	6200061	6204667	-	4607	512	1013	1046	626
Zm00001eb002180.Zm_B73_REFERENCE_NAM_5.0.55	1	6223600	6228409	+	4810	5023	4590	4852	3835
Zm00001eb002190.Zm_B73_REFERENCE_NAM_5.0.55	1	6227615	6230600	-	2986	6	0	2	2
Zm00001eb002200.Zm_B73_REFERENCE_NAM_5.0.55	1	6243871	6247902	-	4032	8	18	7	10
Zm00001eb002210.Zm_B73_REFERENCE_NAM_5.0.55	1	6245655	6246568	+	914	0	0	0	0
Zm00001eb002220.Zm_B73_REFERENCE_NAM_5.0.55	1	6249500	6254299	-	4800	4222	6414	8115	5191
Zm00001eb002240.Zm_B73_REFERENCE_NAM_5.0.55	1	6260934	6263719	+	2786	67	79	113	46
Zm00001eb002250.Zm_B73_REFERENCE_NAM_5.0.55	1	6263313	6267523	-	4211	11	14	5	0
Zm00001eb002260.Zm_B73_REFERENCE_NAM_5.0.55	1	6272463	6282114	-	9652	2787	3358	3615	2503
Zm00001eb002270.Zm_B73_REFERENCE_NAM_5.0.55	1	6360197	6362989	+	2793	195	161	114	146
Zm00001eb002280.Zm_B73_REFERENCE_NAM_5.0.55	1	6365240	6365762	+	523	8	6	0	10
Zm00001eb002290.Zm_B73_REFERENCE_NAM_5.0.55	1	6372483	6375552	-	3070	0	0	0	0
Zm00001eb002300.Zm_B73_REFERENCE_NAM_5.0.55	1	6380105	6384420	-	4316	0	0	0	0
Zm00001eb002310.Zm_B73_REFERENCE_NAM_5.0.55	1	6477433	6482618	-	5186	113	164	150	107
Zm00001eb002320.Zm_B73_REFERENCE_NAM_5.0.55	1	6492735	6496230	-	3496	10385	12048	6888	5564
Zm00001eb002330.Zm_B73_REFERENCE_NAM_5.0.55	1	6509299	6511495	+	2197	0	0	0	0
Zm00001eb002340.Zm_B73_REFERENCE_NAM_5.0.55	1	6511535	6513459	+	1925	0	0	0	0
Zm00001eb002350.Zm_B73_REFERENCE_NAM_5.0.55	1	6515053	6516195	-	1143	0	0	0	0
Zm00001eb002360.Zm_B73_REFERENCE_NAM_5.0.55	1	6519332	6522242	-	2911	0	0	0	0
Zm00001eb002370.Zm_B73_REFERENCE_NAM_5.0.55	1	6523278	6526089	-	2812	0	0	0	0
Zm00001eb002380.Zm_B73_REFERENCE_NAM_5.0.55	1	6724575	6726661	+	2087	320	146	58	223
